,LONGITUD,LATITUD,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,SEMAFORO,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
920,-101.63602,19.64891,31.0,4,122.0,4,22.0,1,23.0,1,23.0,1,,0,,0,,0,,0,101.3,1,,0,,0,0.0,1,0.0,1,3.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
921,-101.6563,19.63241,26.0,3,122.0,4,26.0,2,75.0,1,7.0,1,,0,,0,100.6,1,73.1,1,61.7,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
922,-101.64755,19.60226,21.0,3,145.0,4,40.0,2,9.0,1,9.0,1,,0,,0,78.5,1,59.8,2,53.9,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
923,-101.63129,19.59165,25.0,3,88.0,4,40.0,2,7.0,1,4.0,1,,0,,0,68.8,2,,0,55.9,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
924,-101.65358,19.57213,24.0,3,116.0,4,29.0,2,1100.0,4,120.0,1,,0,,0,66.0,2,,0,58.2,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,LENTICO
925,-101.65878,19.57031,22.0,3,120.0,4,64.0,2,460.0,3,150.0,2,,0,,0,76.8,1,,0,,0,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
926,-101.68867,19.59046,22.0,3,147.0,4,60.0,2,1100.0,4,1100.0,5,,0,,0,61.3,2,,0,52.5,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,LENTICO
927,-101.68131,19.59596,29.0,3,115.0,4,62.0,2,150.0,2,28.0,1,,0,,0,74.8,1,,0,51.4,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
928,-101.62695,19.55587,22.0,3,141.0,4,70.0,2,24000.0,5,150.0,2,,0,,0,86.4,1,,0,,0,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,LENTICO
929,-101.61696,19.54374,21.0,3,131.0,4,44.0,2,1100.0,4,28.0,1,,0,,0,84.7,1,,0,,0,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,LENTICO
930,-101.72353,19.44056,26.0,3,141.0,4,9.0,1,23.0,1,2.0,1,,0,,0,92.1,1,90.0,1,79.0,1,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
931,-101.73332,19.44959,6.0,2,145.0,4,9.0,1,39.0,1,4.0,1,,0,,0,102.3,1,92.7,1,85.7,1,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
932,-101.73962,19.45381,7.0,3,43.0,4,9.0,1,43.0,1,9.0,1,,0,,0,93.4,1,83.9,1,81.0,1,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
933,-101.74389,19.43392,16.0,3,79.0,4,9.0,1,9.0,1,4.0,1,,0,,0,88.8,1,41.4,3,9.0,5,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
934,-101.71204,19.42656,7.0,3,42.0,4,11.0,1,24000.0,5,24000.0,5,,0,37.1,3,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,LOTICO
935,-101.28352,19.60348,13.0,3,48.0,4,60.0,2,28.0,1,21.0,1,,0,,0,93.4,1,,0,,0,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
936,-101.27713,19.6085,13.0,3,36.0,3,12.0,1,93.0,1,93.0,1,,0,,0,72.5,1,,0,54.3,2,,0,,0,0.0,1,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
937,-101.26205,19.61816,10.0,3,59.0,4,9.0,1,210.0,3,150.0,2,,0,,0,73.5,1,37.4,3,9.0,5,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
938,-101.25845,19.62962,8.0,3,44.0,4,9.0,1,43.0,1,23.0,1,,0,,0,77.6,1,41.6,3,9.0,5,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
939,-101.26007,19.63088,2.0,1,67.0,4,9.0,1,430.0,3,430.0,2,,0,60.0,2,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
940,-101.27443,19.64468,6.0,2,71.0,4,9.0,1,9.0,1,4.0,1,,0,,0,96.4,1,,0,,0,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
941,-101.271,19.64828,4.0,2,90.0,4,9.0,1,230.0,3,230.0,2,,0,48.5,3,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
942,-101.26847,19.65201,6.0,2,61.0,4,9.0,1,23.0,1,23.0,1,,0,,0,46.5,3,,0,,0,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
943,-101.25545,19.66087,46.0,4,444.0,5,54.0,2,24000.0,5,11000.0,5,,0,17.7,4,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,LOTICO
944,-101.25603,19.65163,16.0,3,30.0,3,13.0,1,2800.0,4,2100.0,5,,0,21.5,4,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,LOTICO
945,-101.25554,19.65906,42.0,4,572.0,5,28.0,2,11000.0,5,11000.0,5,,0,28.8,4,,0,,0,,0,0.0,1,1.239,2,,0,,0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,LOTICO
